epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,11669.2,0.86094,1.04461,1.08059,1.05018,0.7281,0.51485,0.62065,0.50871,0.72665,0.51433,0.61873,0.43364,0.7432,0.87963,0.81954,1.00713,0.0094456,0.0094456,0.0094456
30,12068.3,0.85804,1.03895,1.06169,1.0461,0.68083,0.55889,0.63822,0.52591,0.67918,0.55938,0.63709,0.44727,0.73368,0.87259,0.80449,1.00384,0.0094258,0.0094258,0.0094258
31,12470.9,0.85395,1.02762,1.04815,1.04129,0.7344,0.53996,0.63926,0.52947,0.73233,0.54142,0.63865,0.44928,0.73152,0.86679,0.79103,0.99978,0.009406,0.009406,0.009406
32,12870.9,0.85124,1.03706,1.04088,1.04211,0.67007,0.57043,0.63508,0.52413,0.66844,0.57011,0.63613,0.4412,0.72553,0.8574,0.77363,0.99842,0.0093862,0.0093862,0.0093862
33,13271.4,0.84351,1.02344,1.02919,1.03768,0.70433,0.57865,0.65151,0.53785,0.70681,0.57524,0.6508,0.4553,0.71749,0.85541,0.76097,0.99539,0.0093664,0.0093664,0.0093664
34,13673.7,0.841,1.01821,1.02011,1.03708,0.71029,0.59251,0.66695,0.55531,0.70852,0.5914,0.66521,0.46913,0.7097,0.84123,0.74168,0.98632,0.0093466,0.0093466,0.0093466
35,14073.4,0.83103,1.00825,1.00262,1.03048,0.72335,0.57566,0.66967,0.55513,0.72531,0.5755,0.66969,0.46594,0.70524,0.83757,0.73046,0.98563,0.0093268,0.0093268,0.0093268
36,14472.4,0.82849,1.00003,0.99284,1.02812,0.72485,0.59603,0.69026,0.57371,0.72218,0.59696,0.68876,0.47931,0.70036,0.83071,0.71529,0.98072,0.009307,0.009307,0.009307
37,14876.3,0.82954,1.00134,0.98254,1.02802,0.71435,0.62044,0.69638,0.58143,0.71263,0.61914,0.6972,0.48353,0.69374,0.82564,0.69658,0.9777,0.0092872,0.0092872,0.0092872
38,15278.5,0.8245,0.99637,0.96947,1.02685,0.73034,0.63343,0.72796,0.60876,0.7302,0.63353,0.72693,0.51091,0.68625,0.81693,0.68473,0.97436,0.0092674,0.0092674,0.0092674
